id,name,category,base_price,manufacturer,ndc_code,quantity_limit,requires_prior_auth,active,therapeutic_class,generic_equivalent,controlled_substance_schedule
MED001,Lisinopril,Generic,15.99,Generic Pharma Co,12345-678-90,30.0,False,True,ACE Inhibitor,,
MED002,Metformin,Generic,12.99,Generic Pharma Co,12345-678-91,60.0,False,True,Antidiabetic,,
MED003,Amlodipine,Generic,18.99,Generic Pharma Co,12345-678-92,30.0,False,True,Calcium Channel Blocker,,
MED004,Lipitor,Brand,145.99,Pfizer,98765-432-10,,True,True,Statin,MED005,
MED005,Atorvastatin,Generic,25.99,Generic Pharma Co,11111-222-33,30.0,False,True,Statin,,
MED006,Januvia,Brand,425.99,Merck,98765-432-11,,True,True,Antidiabetic,,
MED007,Humira,Specialty,5250.99,AbbVie,77777-888-99,,True,True,TNF Inhibitor,,
MED008,Enbrel,Specialty,4890.99,Amgen,77777-888-98,,True,True,TNF Inhibitor,,
MED009,Adderall XR,Controlled,225.99,Shire,33333-444-55,30.0,True,True,Stimulant,,II
MED010,Xanax,Controlled,125.99,Pfizer,33333-444-56,30.0,True,True,Benzodiazepine,,IV
